sportName,sportId,delayInSeconds,delayInSecondsOptimism,delayInSecondsArbitrum,delayInSecondsBase,delayInSecondsMolly
Slovakia - Superliga,20714,5,3,6,5,3
China - FA Cup,20715,5,3,6,5,3
Romania - Liga I,20661,5,3,6,5,3
Bulgaria - Parva Liga,20507,5,3,6,5,3
Lithuania - A Lyga,20616,5,3,6,5,3
Latvia - Virsliga,20612,5,3,6,5,3
Ireland - Premier League,20590,5,3,6,5,3
Slovenia - PrvaLiga,20682,5,3,6,5,3
Hungary - NB I,20572,5,3,6,5,3
Croatia - 1. HNL,20520,5,3,6,5,3
Czech Republic - First League,20529,5,3,6,5,3
International - Club Friendlies,20584,5,3,6,5,3
International - Friendlies,20585,5,3,6,5,3
International - Friendlies Women,20586,5,3,6,5,3
North America - Leagues Cup,20637,5,3,6,5,3
Brazil - Serie B,20503,5,3,6,5,3
Australia - Cup,20166,5,3,6,5,3
Kazakhstan - Premier League,20600,5,3,6,5,3
Estonia - Premium Liiga,20549,5,3,6,5,3
USA - USL Championship,20702,5,3,6,5,3
Costa Rica - Primera Division,20519,5,3,6,5,3
Russia - Cup,20663,5,3,6,5,3
Sweden - Superettan,20686,5,3,6,5,3
Switzerland - Challenge League,20688,5,3,6,5,3
Portugal - Super Cup,20658,5,3,6,5,3
Netherlands - Super Cup,20716,5,3,6,5,3
Argentina - Copa Argentina,20160,5,3,6,5,3
Norway - 1. Divisjon,20642,5,3,6,5,3
Denmark - 1st Division,20531,5,3,6,5,3
England - Community Shield,20540,5,3,6,5,3
Egypt - Premier League,20538,5,3,6,5,3
Uzbekistan - Super League,20707,5,3,6,5,3
Wales - Cymru Premier,20517,5,3,6,5,3
Northern Ireland - Premiership,20639,5,3,6,5,3
Belarus - Premier League,20183,5,3,6,5,3
South Africa - Premier League,20683,5,3,6,5,3
Indonesia - Liga 1,20583,5,3,6,5,3
Qatar - Stars League,20659,5,3,6,5,3
Georgia - Erovnuli Liga,20561,5,3,6,5,3
Malaysia - Super League,20621,5,3,6,5,3
Vietnam - V League 1,20709,5,3,6,5,3
Austria - 2. Liga,20175,5,3,6,5,3
Belgium - Challenger Pro League,20184,5,3,6,5,3
Netherlands - Eerste Divisie,20634,5,3,6,5,3
Ireland - Division 1,20588,5,3,6,5,3
Portugal - Segunda Liga,20657,5,3,6,5,3
Russia - First League,20664,5,3,6,5,3
Scotland - Championship,20669,5,3,6,5,3
Turkey - 1. Lig,20692,5,3,6,5,3
England - League 2,20543,5,3,6,5,3
Germany - Bundesliga 3,20563,5,3,6,5,3
Portugal - Liga 3,20656,5,3,6,5,3
Romania - Liga II,20662,5,3,6,5,3
Ukraine - Premier League,20717,5,3,6,5,3
Italy - Serie C,20718,5,3,6,5,3
Japan - Emperor Cup,20719,5,3,6,5,3
WTA,152,5,3,6,5,3
ATP,153,5,3,6,5,3
ATP,156,5,3,6,5,3
Argentina - Liga Argentina,20400,5,3,6,5,3
Argentina - Liga Argentina Women,20401,5,3,6,5,3
Austria - AVL,20402,5,3,6,5,3
Austria - WVL,20403,5,3,6,5,3
Belgium - Liga Dames,20404,5,3,6,5,3
Belgium - Liga Heren,20405,5,3,6,5,3
Brazil - Superliga,20406,5,3,6,5,3
Brazil - Superliga Women,20407,5,3,6,5,3
CEV - Champions League,20408,5,3,6,5,3
CEV - Champions League Women,20409,5,3,6,5,3
CEV - Cup,20410,5,3,6,5,3
CEV - Cup Women,20411,5,3,6,5,3
China - CVL,20412,5,3,6,5,3
China - CVL Women,20413,5,3,6,5,3
Czech Republic - VEL,20414,5,3,6,5,3
Czech Republic - VEL Women,20415,5,3,6,5,3
Denmark - Volleyligaen,20416,5,3,6,5,3
Denmark - Volleyligaen Women,20417,5,3,6,5,3
Finland - Mestaruusliiga,20418,5,3,6,5,3
Finland - Mestaruusliiga Women,20419,5,3,6,5,3
FIVB - Nations League,20420,5,3,6,5,3
FIVB - Nations League Women,20421,5,3,6,5,3
France - Ligue A,20422,5,3,6,5,3
France - Ligue A Women,20423,5,3,6,5,3
Germany - 1st Bundesliga,20424,5,3,6,5,3
Germany - 1st Bundesliga Women,20425,5,3,6,5,3
Iran - Super League,20426,5,3,6,5,3
Italy - Coppa Italia A1 Women,20427,5,3,6,5,3
Italy - Coppa Italia Superlega,20428,5,3,6,5,3
Italy - Serie A1 Women,20429,5,3,6,5,3
Italy - Superlega,20430,5,3,6,5,3
Japan - SV League,20431,5,3,6,5,3
Japan - SV League Women,20432,5,3,6,5,3
Norway - NVBF,20433,5,3,6,5,3
Philippines - PVL Women,20434,5,3,6,5,3
Poland - PlusLiga,20435,5,3,6,5,3
Russia - Superliga,20436,5,3,6,5,3
Russia - Superliga Women,20437,5,3,6,5,3
South Korea - V League,20438,5,3,6,5,3
South Korea - V League Women,20439,5,3,6,5,3
FIVB - World Championship Women,20440,5,3,6,5,3
FINA - World Championship,8881,5,3,6,5,3
FINA - World Championship Women,20871,5,3,6,5,3
