name,sportId,marketName,bookmaker,secondBookmaker
UEFA - Champions League,16,Player Offsides,draftkings,
UEFA - Europa League,17,Player Goals,blue book,
UEFA - Europa League,17,Player Assists,blue book,
UEFA - Europa League,17,Player Shots On Target,blue book,
UEFA - Europa League,17,Player Fouls,draftkings,
UEFA - Europa League,17,Player Fouls Drawn,draftkings,
UEFA - Europa League,17,Player Tackles,draftkings,
UEFA - Europa League,17,Player Saves,draftkings,
FIFA World Cup,18,Player Goals,blue book,
FIFA World Cup,18,Player Assists,blue book,
FIFA World Cup,18,Player Shots On Target,blue book,
England - Premier League,11,Halftime / Fulltime,DraftKings,
France - Ligue 1,12,Halftime / Fulltime,DraftKings,
Germany - Bundesliga,13,Halftime / Fulltime,DraftKings,
Spain - La Liga,14,Halftime / Fulltime,DraftKings,
Italy - Serie A,15,Halftime / Fulltime,DraftKings,
FIFA World Cup,18,Halftime / Fulltime,DraftKings,
UEFA - Champions League,16,Halftime / Fulltime,DraftKings,
Russia - KHL,321,2nd Period Moneyline 3-Way,dafabet,
Russia - KHL,321,2nd Period Puck Line,dafabet,
Russia - KHL,321,2nd Period Total Goals,dafabet,
Russia - KHL,321,3rd Period Moneyline 3-Way,dafabet,
Russia - KHL,321,3rd Period Puck Line,dafabet,
Russia - KHL,321,3rd Period Total Goals,dafabet,
Russia - KHL,321,1st Period Team Total,superbet,
