name,sportId,marketName,bookmaker,secondBookmaker
UEFA - Europa League,17,Team Total Shots On Target,Betano,
UEFA - Europa League,17,Total Offsides,Betano,
UEFA - Europa League,17,2nd Half Total Corners,opticodds ai,
UEFA - Europa League,17,1st Half Team Total Corners,opticodds ai,
UEFA - Europa League,17,2nd Half Team Total Corners,opticodds ai,
UEFA - Europa League,17,Most Corners 3-Way,opticodds ai,
UEFA - Europa League,17,1st Half Most Corners 3-Way,opticodds ai,
UEFA - Europa League,17,2nd Half Most Corners 3-Way,opticodds ai,
FIFA - Club World Cup,20152,To Lift The Cup,blue book,
FIFA - Intercontinental Cup,20558,Last Team To Score,Draftkings,
FIFA - Intercontinental Cup,20558,Team To Win Both Halves,Betano,
FIFA - Intercontinental Cup,20558,Team To Win Either Half,Betano,
FIFA - Intercontinental Cup,20558,Goal Both Halves,Betano,
FIFA - Intercontinental Cup,20558,Team To Score Both Halves,Betano,
FIFA - Intercontinental Cup,20558,Total Shots,Betano,
FIFA - Intercontinental Cup,20558,Total Shots On Target,Betano,
FIFA - Intercontinental Cup,20558,Team Total Shots,Betano,
FIFA - Intercontinental Cup,20558,Team Total Shots On Target,Betano,
FIFA - Intercontinental Cup,20558,Total Offsides,Betano,
