name,sportId,typeId,marketName,type,enabled,minOdds,maxOdds
UEFA Europa League,17,10018,Team Total,Total,true,0.75,0.25
UEFA Europa League,17,10031,1st Half Total Goals,Total,true,0.75,0.25
UEFA Europa League,17,10032,2nd Half Total Goals,Total,true,0.75,
UEFA Europa League,17,10021,1st Half Moneyline,Moneyline,true,0.99,0.01
UEFA Europa League,17,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01
FIFA World Cup Qualifiers,18,0,Moneyline,Moneyline,true,0.75,0.25
FIFA World Cup Qualifiers,18,10001,Goal Spread,Spread,true,0.75,0.25
FIFA World Cup Qualifiers,18,10002,Total Goals,Total,true,0.75,0.25
FIFA World Cup Qualifiers,18,10017,Team Total,Total,true,0.75,0.25
FIFA World Cup Qualifiers,18,10018,Team Total,Total,true,0.75,0.25
Copa America,44,0,Moneyline,Moneyline,true,0.75,0.25
Copa America,44,10001,Goal Spread,Spread,false,0.75,0.25
Copa America,44,10002,Total Goals,Total,false,0.75,0.25
UEFA EURO 2024,50,0,Moneyline,Moneyline,false,0.75,0.25
UEFA EURO 2024,50,10001,Goal Spread,Spread,false,0.75,0.25
UEFA EURO 2024,50,10002,Total Goals,Total,false,0.75,0.25
WTA Events,152,0,Moneyline,Moneyline,true,0.75,0.25
WTA Events,152,10001,Game Spread,Spread,true,0.75,0.25
WTA Events,152,10002,Total Games,Total,true,0.75,0.25
Grand Slam,153,0,Moneyline,Moneyline,true,0.75,0.25
Grand Slam,153,10001,Game Spread,Spread,true,0.75,0.25
Grand Slam,153,10002,Total Games,Total,true,0.75,0.25
ATP Events,156,0,Moneyline,Moneyline,true,0.75,0.25
ATP Events,156,10001,Game Spread,Spread,true,0.75,0.25
ATP Events,156,10002,Total Games,Total,true,0.75,0.25
Liga MX,230,0,Moneyline,Moneyline,true,0.75,0.25
Liga MX,230,10001,Goal Spread,Spread,false,0.75,0.25
Liga MX,230,10002,Total Goals,Total,false,0.75,0.25
Euroleague,399,0,Moneyline,Moneyline,true,0.75,0.25
Euroleague,399,10001,Point Spread,Spread,true,0.75,0.25
Euroleague,399,10002,Total Points,Total,true,0.75,0.25
Euroleague,399,10017,Team Total,Total,true,0.75,0.25
Euroleague,399,10018,Team Total,Total,true,0.75,0.25
Euroleague,399,10031,1st Quarter Total Points,Total,true,0.75,0.25
Euroleague,399,10032,2nd Quarter Total Points,Total,true,0.75,0.25
Euroleague,399,10033,3rd Quarter Total Points,Total,true,0.75,0.25
Euroleague,399,10034,4th Quarter Total Points,Total,true,0.75,0.25
Euroleague,399,10041,1st Quarter Point Spread,Spread,true,0.75,0.25
Euroleague,399,10042,2nd Quarter Point Spread,Spread,true,0.75,0.25
Euroleague,399,10043,3rd Quarter Point Spread,Spread,true,0.75,0.25
Euroleague,399,10044,4th Quarter Point Spread,Spread,true,0.75,0.25
Euroleague,399,10071,1st Half Point Spread,Spread,true,0.75,0.25
Euroleague,399,10072,2nd Half Point Spread,Spread,true,0.75,0.25
Euroleague,399,10061,1st Half Total Points,Total,true,0.75,0.25
Euroleague,399,10062,2nd Half Total Points,Total,true,0.75,0.25
Euoleague,399,10021,1st Quarter Moneyline,Moneyline,true,0.99,0.01
Euroleague,399,10022,2nd Quarter Moneyline,Moneyline,true,0.99,0.01
Euroleague,399,10023,3rd Quarter Moneyline,Moneyline,true,0.99,0.01
Euroleague,399,10024,4th Quarter Moneyline,Moneyline,true,0.99,0.01
Euroleague,399,10051,1st Half Moneyline,Moneyline,true,0.99,0.01
Euroleague,399,10052,2nd Half Moneyline,Moneyline,true,0.99,0.01
Saudi Professional League,536,0,Moneyline,Moneyline,true,0.75,0.25
Saudi Professional League,536,10001,Goal Spread,Spread,false,0.75,0.25
Saudi Professional League,536,10002,Total Goals,Total,false,0.75,0.25
UEFA Nations League,9806,0,Moneyline,Moneyline,true,0.75,0.25
UEFA Nations League,9806,10001,Goal Spread,Spread,true,0.75,0.25
UEFA Nations League,9806,10002,Total Goals,Total,true,0.75,0.25
UEFA Nations League,9806,10017,Team Total,Total,true,0.75,0.25
UEFA Nations League,9806,10018,Team Total,Total,true,0.75,0.25
UEFA Conference League,10216,0,Moneyline,Moneyline,true,0.75,0.25
UEFA Conference League,10216,10001,Goal Spread,Spread,false,0.75,0.25
UEFA Conference League,10216,10002,Total Goals,Total,false,0.75,0.25
UEFA Super Cup,20001,0,Moneyline,Moneyline,true,0.75,0.25
UEFA Super Cup,20001,10001,Goal Spread,Spread,false,0.75,0.25
UEFA Super Cup,20001,10002,Total Goals,Total,false,0.75,0.25
Copa do Brasil,20002,0,Moneyline,Moneyline,true,0.75,0.25
Copa do Brasil,20002,10001,Goal Spread,Spread,false,0.75,0.25
Copa do Brasil,20002,10002,Total Goals,Total,false,0.75,0.25
