playerName,playerId,playerTeam,playerAbbreviationNames,isActive,comment
Bradley Beal,868280A04E45,Los Angeles Clippers,Bradley Beal;B. Beal;B.Beal;Beal Bradley,true,
Kevin Durant,223ECA567955,Houston Rockets,Kevin Durant;K. Durant;K.Durant;Durant Kevin,true,
Jusuf Nurkic,4001629E2FBA,Utah Jazz,Jusuf Nurkic;J. Nurkic;J.Nurkic;Nurkic Jusuf,true,
DeAaron Fox,CDE39E7AD66F,San Antonio Spurs,DeAaron Fox;DeAaron;D.Fox;Fox DeAaron,true,
Kevin Huerter,6238D8537CBE,Chicago Bulls,Kevin Huerter;K. Huerter;K.Huerter;Huerter Kevin,true,
Domantas Sabonis,33D8BA719BE9,Sacramento Kings,Domantas Sabonis;D. Sabonis;D.Sabonis;Sabonis Domantas,true,
Trae Young,2A95E890DFCB,Atlanta Hawks,Trae Young;T. Young;T.Young;Young Trae,true,
Dejounte Murray,AFDA3EB48D8F,New Orleans Pelicans,Dejounte Murray;D. Murray;D.Murray;Murray Dejounte,true,
DeAndre Hunter,A648F8E7D8B1,Cleveland Cavaliers,DeAndre Hunter;D. Hunter;D.Hunter;Hunter DeAndre,true,
Bogdan Bogdanovic,6511172D86EE,Los Angeles Clippers,Bogdan Bogdanovic;Bogdanovic Bogdan,true,
Terry Rozier,369A7DB9741A,Miami Heat,Terry Rozier;T. Rozier;T.Rozier;Rozier Terry,true,
Brandon Miller,94623DDFFBAB,Charlotte Hornets,Brandon Miller;B. Miller;B.Miller;Miller Brandon,true,
Miles Bridges,7D7FA2FC4296,Charlotte Hornets,M. Bridges;Miles Bridges;Bridges Miles,true,
Kyle Lowry,4B7F925C9DFF,Philadelphia 76ers,Kyle Lowry;K. Lowry;K.Lowry;Lowry Kyle,true,
Tyler Herro,29CB00DFF593,Miami Heat,Tyler Herro;T. Herro;T.Herro;Herro Tyler,true,
Jimmy Butler,1B98F0799407,Golden State Warriors,Jimmy Butler;J. Butler;J.Butler;Butler Jimmy,true,
Bam Adebayo,21DD03C2B454,Miami Heat,Bam Adebayo;B. Adebayo;B.Adebayo;Adebayo Bam,true,
Franz Wagner,006B2F3541DF,Orlando Magic,Franz Wagner;F. Wagner;F.Wagner;Wagner Franz,true,
Paolo Banchero,D60B4AB76311,Orlando Magic,Paolo Banchero;P. Banchero;P.Banchero;Banchero Paolo,true,
Wendell Carter Jr.,E089AADE38DE,Orlando Magic,Wendell Carter Jr.;W. Carter Jr.;W.Carter Jr.;Carter Jr. Wendell,true,
Tyus Jones,D354D0E8C6B3,Orlando Magic,Tyus Jones;T. Jones;T.Jones;Jones Tyus,true,
Jordan Poole,88CBA982B68D,Washington Wizards,Jordan Poole;J. Poole;J.Poole;Poole Jordan,true,
Deni Avdija,A516E172A7D9,Portland Trail Blazers,Deni Avdija;D. Avdija;D.Avdija;Avdija Deni,true,
Kyle Kuzma,2F80F21FE649,Milwaukee Bucks,Kyle Kuzma;K. Kuzma;K.Kuzma;Kuzma Kyle,true,
Luka Doncic,3E8718868C56,Los Angeles Lakers,Luka Doncic;L. Doncic;L.Doncic;Doncic Luka,true,
Kyrie Irving,CA84EBF5F3D5,Dallas Mavericks,Kyrie Irving;K. Irving;K.Irving;Irving Kyrie,true,
Tim Hardaway Jr.,426821300D3A,Denver Nuggets,Tim Hardaway Jr.;T. Hardaway Jr.;T.Hardaway Jr.;Hardaway Jr. Tim,true,
Grant Williams,F6201C6517BA,Charlotte Hornets,Grant Williams;G. Williams;G.Williams;Williams Grant,true,
Ja Morant,8345BD10177C,Memphis Grizzlies,Ja Morant;J. Morant;J.Morant;Morant Ja,true,
Marcus Smart,4FDE51CBB96C,Los Angeles Lakers,Marcus Smart;M. Smart;M.Smart;Smart Marcus,true,
Desmond Bane,40B73A0755A8,Orlando Magic,Desmond Bane;D. Bane;D.Bane;Bane Desmond,true,
Jaren Jackson Jr.,3806ED3C1BC0,Memphis Grizzlies,Jaren Jackson Jr.;J. Jackson Jr.;J.Jackson Jr.;Jackson Jr. Jaren,true,
Fred VanVleet,E2C232BD8D0C,Houston Rockets,Fred VanVleet;F. VanVleet;F.VanVleet;VanVleet Fred,true,
Jalen Green,E048E98EDFB9,Phoenix Suns,Jalen Green;J. Green;J.Green;Green Jalen,true,
Alperen Sengun,C4ABEA8F1F92,Houston Rockets,Alperen Sengun;A. Sengun;A.Sengun;Sengun Alperen,true,
C.J. McCollum,F6E63D643B0D,Washington Wizards,C.J. McCollum;C. McCollum;C.McCollum;McCollum C.J.,true,
Brandon Ingram,BF37C2E17344,Toronto Raptors,Brandon Ingram;B. Ingram;B.Ingram;Ingram Brandon,true,
Zion Williamson,E4705EFFF804,New Orleans Pelicans,Zion Williamson;Z. Williamson;Z.Williamson;Williamson Zion,true,
Jonas Valanciunas,752BAAB03E17,Denver Nuggets,Jonas Valanciunas;J. Valanciunas;J.Valanciunas;Valanciunas Jonas,true,
Devin Vassell,804B793FEEDB,San Antonio Spurs,Devin Vassell;D. Vassell;D.Vassell;Vassell Devin,true,
Keldon Johnson,F34EFECEA2DA,San Antonio Spurs,Keldon Johnson;K. Johnson;K.Johnson;Johnson Keldon,true,
Victor Wembanyama,ECE70FF020E8,San Antonio Spurs,Victor Wembanyama;V. Wembanyama;V.Wembanyama;Wembanyama Victor,true,
Zaccharie Risacher,049B69022842,Atlanta Hawks,Zaccharie Risacher;Z. Risacher;Z.Risacher;Risacher Zaccharie,true,
Alex Sarr,88E87BF2A103,Washington Wizards,Alex Sarr;A. Sarr;A.Sarr;Sarr Alex,true,
Zach Edey,1F1924E8CD2E,Memphis Grizzlies,Zach Edey;Z. Edey;Z.Edey;Edey Zach,true,
Reed Sheppard,11A10E43F913,Houston Rockets,Reed Sheppard;R. Sheppard;R.Sheppard;Sheppard Reed,true,
Cooper Flagg,88DE1427AED167C6,Dallas Mavericks,Cooper Flagg;C. Flagg;C.Flagg;Flagg Cooper,true,
Stephon Castle,69245BA7CCBE,San Antonio Spurs,Stephon Castle;S. Castle;S.Castle;Castle Stephon,true,
Amen Thompson,1FABAEE9E467,Houston Rockets,Amen Thompson;Thompson Amen,true,
