sportName,sportId,typeId,minOdds,maxOdds,description
England - Premier League Darts,20320,10001,130,350,Spread
England - Premier League Darts,20320,10002,130,350,Totals
Czech Republic - Extraliga,310,10001,120,400,Spread
Czech Republic - Extraliga,310,10002,145,265,Totals
Czech Republic - Extraliga,310,10017,145,265,Total Home Team To Score
Czech Republic - Extraliga,310,10018,145,265,Total Away Team To Score
Czech Republic - Extraliga,310,10031,120,265,First Period Total
Czech Republic - Extraliga,310,10041,120,400,First Period Spread
Finland - SM Liiga,319,10001,120,400,Spread
Finland - SM Liiga,319,10002,145,265,Totals
Finland - SM Liiga,319,10017,145,265,Total Home Team To Score
Finland - SM Liiga,319,10018,145,265,Total Away Team To Score
Finland - SM Liiga,319,10031,145,265,First Period Total
Finland - SM Liiga,319,10041,120,400,First Period Spread
Russia - KHL,321,10001,120,400,Spread
Russia - KHL,321,10002,145,265,Totals
Russia - KHL,321,10017,145,265,Total Home Team To Score
Russia - KHL,321,10018,145,265,Total Away Team To Score
Russia - KHL,321,10031,145,265,First Period Total
Russia - KHL,321,10041,120,400,First Period Spread
Germany - DEL,322,10001,120,400,Spread
Germany - DEL,322,10002,145,265,Totals
Germany - DEL,322,10017,145,265,Total Home Team To Score
Germany - DEL,322,10018,145,265,Total Away Team To Score
Germany - DEL,322,10031,145,265,First Period Total
Germany - DEL,322,10041,120,400,First Period Spread
Austria - Ice Hockey League,323,10001,120,400,Spread
Austria - Ice Hockey League,323,10002,145,265,Totals
Austria - Ice Hockey League,323,10017,145,265,Total Home Team To Score
Austria - Ice Hockey League,323,10018,145,265,Total Away Team To Score
Austria - Ice Hockey League,323,10031,145,265,First Period Total
Austria - Ice Hockey League,323,10041,120,400,First Period Spread
Sweden - SHL,324,10001,120,400,Spread
Sweden - SHL,324,10002,145,265,Totals
Sweden - SHL,324,10017,145,265,Total Home Team To Score
Sweden - SHL,324,10018,145,265,Total Away Team To Score
Sweden - SHL,324,10031,145,265,First Period Total
Sweden - SHL,324,10041,120,400,First Period Spread
Switzerland - National League,327,10001,120,400,Spread
Switzerland - National League,327,10002,145,265,Totals
Switzerland - National League,327,10017,145,265,Total Home Team To Score
Switzerland - National League,327,10018,145,265,Total Away Team To Score
Switzerland - National League,327,10031,145,265,First Period Total
Switzerland - National League,327,10041,120,400,First Period Spread
USA - AHL,328,10001,120,400,Spread
USA - AHL,328,10002,145,265,Totals
USA - AHL,328,10017,145,265,Total Home Team To Score
USA - AHL,328,10018,145,265,Total Away Team To Score
USA - AHL,328,10031,145,265,First Period Total
USA - AHL,328,10041,120,400,First Period Spread
IIHF - World Championship,33,10001,120,400,Spread
IIHF - World Championship,33,10002,145,265,Totals
IIHF - World Championship,33,10017,145,265,Total Home Team To Score
IIHF - World Championship,33,10018,145,265,Total Away Team To Score
IIHF - World Championship,33,10031,145,265,First Period Total
IIHF - World Championship,33,10041,120,400,First Period Spread
AFL,9510,10001,150,250,Spread
AFL,9510,10002,150,250,Totals
CS2,9977,10001,105,800,Spread
CS2,9977,10002,105,800,Totals
CS2,9977,10031,105,800,First Period Total
CS2,9977,10032,105,800,Second Period Total
CS2,9977,10033,105,800,Third Period Total
CS2,9977,10041,105,800,First Period Spread
CS2,9977,10042,105,800,Second Period Spread
CS2,9977,10043,105,800,Third Period Spread
Dota 2,9983,10001,105,800,Spread
Dota 2,9983,10002,105,800,Totals
League of Legends,10138,10001,105,800,Spread
League of Legends,10138,10002,105,800,Totals
Valorant,20300,10001,105,800,Spread
Valorant,20300,10002,105,800,Totals
Valorant,20300,10031,105,800,First Period Total
Valorant,20300,10032,105,800,Second Period Total
Valorant,20300,10033,105,800,Third Period Total
Valorant,20300,10041,105,800,First Period Spread
Valorant,20300,10042,105,800,Second Period Spread
Valorant,20300,10043,105,800,Third Period Spread
FIBA - EuroBasket,20224,11087,110,1000,Player Double Double
